gamehash,team,bank,loadout
687d554b-c3d6-4a23-ad3a-61e0db835ae8,B,9510,18115
17be32b6-22cc-41ae-9cf9-6a91a2674b58,A,5769,16071
17be32b6-22cc-41ae-9cf9-6a91a2674b58,B,9660,19024
fede1563-858f-4760-bbd2-ff4fd244d165,A,6864,16328
fede1563-858f-4760-bbd2-ff4fd244d165,B,10981,17758
9efb2cf4-0dce-4a24-b514-4651af295524,A,4568,14721
9efb2cf4-0dce-4a24-b514-4651af295524,B,15882,20404
62a83b5d-2cc4-42ce-b06a-1fb111fc429f,A,9263,19041
62a83b5d-2cc4-42ce-b06a-1fb111fc429f,B,8367,17150
1193c784-f31b-4620-9e52-f5b90b611923,A,10917,18629
1193c784-f31b-4620-9e52-f5b90b611923,B,9871,17673
9cbd0015-d80c-49dd-9700-bf1997497999,A,8108,18242
9cbd0015-d80c-49dd-9700-bf1997497999,B,5003,15908
4faad5f7-2240-4aae-bba5-5f1a01bf25a5,A,9189,19383
4faad5f7-2240-4aae-bba5-5f1a01bf25a5,B,11115,18735
f909ccd1-5bc0-4a27-b72b-32e66e801314,A,8569,18996
f909ccd1-5bc0-4a27-b72b-32e66e801314,B,7856,16956
a0611821-b2ee-401d-983a-6803fde56827,A,6402,17310
a0611821-b2ee-401d-983a-6803fde56827,B,13238,18457
3bb49449-8ca6-48d8-96e1-a90d395f65b8,A,7341,18291
3bb49449-8ca6-48d8-96e1-a90d395f65b8,B,8730,18065
6b4064e0-2112-4fe8-8fa9-024751cac152,A,8300,17069
6b4064e0-2112-4fe8-8fa9-024751cac152,B,9252,18627
fae828b8-05c6-42e4-9043-5f64417d8493,A,6520,16033
fae828b8-05c6-42e4-9043-5f64417d8493,B,13468,18708
ea0f1065-ea65-49b1-b44b-3fed34a62a2f,A,12966,19368
ea0f1065-ea65-49b1-b44b-3fed34a62a2f,B,8648,17493
064ea1fe-a1f3-4d34-b671-8b4236ded21b,A,11021,17935
064ea1fe-a1f3-4d34-b671-8b4236ded21b,B,8723,18488
cecb8c21-c93b-4b76-909f-12cf3a2f9efb,A,8471,18452
cecb8c21-c93b-4b76-909f-12cf3a2f9efb,B,8112,18596
6cda7a3e-028e-4790-9ea4-c70f2e3cf0fb,A,8220,18463
6cda7a3e-028e-4790-9ea4-c70f2e3cf0fb,B,6935,17091
7e983f8f-3211-494e-92c9-19db8fd1f295,A,4555,16026
7e983f8f-3211-494e-92c9-19db8fd1f295,B,7324,18005
04c95fc5-3ac4-4d63-a76f-3c703021c850,A,12329,19796
04c95fc5-3ac4-4d63-a76f-3c703021c850,B,5854,17619
4537ed6e-7ffb-4f98-9d59-60a825258f68,A,8346,19178
4537ed6e-7ffb-4f98-9d59-60a825258f68,B,10048,18498
de0fe330-24e2-4263-94ec-fc97544aeff4,A,11321,18363
de0fe330-24e2-4263-94ec-fc97544aeff4,B,9545,15400
1d0fd186-dff5-4ffb-a37a-f73b4f939a62,A,7379,16902
1d0fd186-dff5-4ffb-a37a-f73b4f939a62,B,11507,19443
f393f180-126b-4e1b-a176-c9cff0a02ded,A,14392,19195
f393f180-126b-4e1b-a176-c9cff0a02ded,B,7789,16924
c44c7ef5-6102-4be3-8eb5-61172e2ed901,A,15203,18974
c44c7ef5-6102-4be3-8eb5-61172e2ed901,B,6913,17332
77f12aa6-2dc6-4644-b464-108f763d0902,A,16120,20527
77f12aa6-2dc6-4644-b464-108f763d0902,B,3390,15187
4894494e-f61f-4e7a-a9cc-b104ce113c49,A,7082,16968
4894494e-f61f-4e7a-a9cc-b104ce113c49,B,9509,17959
c0f5bae3-1d55-41d7-acd8-c84e397ffe30,A,7631,17225
c0f5bae3-1d55-41d7-acd8-c84e397ffe30,B,8542,17683
1b75dc30-653a-40f9-801a-3413cd3c5574,A,12959,19318
1b75dc30-653a-40f9-801a-3413cd3c5574,B,5085,14685
8bc275f1-50b4-4237-bfc4-c25e8a0600bc,A,8303,17413
8bc275f1-50b4-4237-bfc4-c25e8a0600bc,B,6579,17153
a768814c-4dc1-49bb-9c1f-c55fdf72ea2a,A,10486,17943
a768814c-4dc1-49bb-9c1f-c55fdf72ea2a,B,7361,17366
130600a9-3b1b-43bf-88e1-25addf53196c,A,8136,17045
130600a9-3b1b-43bf-88e1-25addf53196c,B,7405,16414
